user_id,date,device,sex,channel
450007,2015-02-28,Desktop,Female,search
756838,2015-01-13,Desktop,Male,paid_ads
568983,2015-04-09,Desktop,Male,paid_ads
190794,2015-02-18,Desktop,Female,search
537909,2015-01-15,Desktop,Male,paid_ads
993454,2015-03-03,Desktop,Male,paid_ads
377150,2015-04-15,Desktop,Female,paid_ads
137258,2015-01-27,Mobile,Male,search
608249,2015-04-12,Desktop,Female,paid_ads
615615,2015-02-24,Mobile,Female,paid_ads
96069,2015-04-13,Mobile,Female,paid_ads
664476,2015-02-13,Desktop,Female,paid_ads
236201,2015-03-14,Desktop,Male,paid_ads
796359,2015-04-02,Desktop,Male,search
592962,2015-04-25,Desktop,Male,search
971488,2015-02-27,Desktop,Female,paid_ads
610157,2015-02-11,Desktop,Female,paid_ads
561375,2015-04-11,Desktop,Female,search
624556,2015-01-25,Desktop,Male,paid_ads
443293,2015-03-19,Mobile,Male,paid_ads
435414,2015-03-11,Mobile,Female,paid_ads
969529,2015-04-14,Desktop,Female,paid_ads
830503,2015-01-21,Desktop,Female,paid_ads
184748,2015-02-18,Mobile,Male,paid_ads
68397,2015-04-02,Desktop,Male,paid_ads
682442,2015-04-03,Desktop,Male,paid_ads
62655,2015-01-30,Desktop,Female,paid_ads
159517,2015-03-25,Desktop,Male,search
78294,2015-04-19,Mobile,Female,paid_ads
504960,2015-03-08,Desktop,Female,search
449259,2015-02-15,Desktop,Male,search
976991,2015-04-24,Desktop,Male,search
639988,2015-04-03,Desktop,Female,paid_ads
668253,2015-02-05,Desktop,Male,paid_ads
838832,2015-03-08,Desktop,Female,search
126297,2015-01-01,Mobile,Male,paid_ads
700880,2015-01-07,Desktop,Male,search
606959,2015-02-21,Desktop,Female,paid_ads
252135,2015-03-10,Mobile,Male,paid_ads
886066,2015-01-10,Desktop,Male,paid_ads
283193,2015-02-12,Desktop,Male,paid_ads
527765,2015-03-13,Mobile,Male,paid_ads
265629,2015-04-27,Mobile,Male,search
469531,2015-04-20,Mobile,Male,paid_ads
632470,2015-03-06,Desktop,Male,search
142395,2015-02-21,Desktop,Female,search
948203,2015-03-03,Desktop,Female,paid_ads
601434,2015-02-03,Desktop,Male,paid_ads
429473,2015-02-28,Mobile,Female,paid_ads
291813,2015-03-28,Desktop,Female,search
